Nombrebeca,Institucion,Aniobecariosconfirmados,Departamento,Carrera,Modalidad,Estrato Socioeconomico,Migracion
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,CNA y PA,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,FF.AA.,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Agraria La Molina,2025,Lima,Todas las carreras elegibles,Repared,Víctimas de violencia,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,EIB,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,Protección,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,CNA y PA,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,FF.AA.,Variable,Lima - Sin migración
Beca 18,Universidad Nacional Federico Villarreal,2025,Lima,Todas las carreras elegibles,Repared,Víctimas de violencia,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,EIB,Variable,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,Protección,Variable,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,CNA y PA,Variable,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,FF.AA.,Variable,Lima - Sin migración
Beca 18,Pontificia Universidad Católica del Perú,2025,Lima,Todas las carreras elegibles,Repared,Víctimas de violencia,Lima - Sin migración
Beca 18,Universidad del Pacífico,2025,Lima,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad del Pacífico,2025,Lima,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad del Pacífico,2025,Lima,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Lima - Sin migración
Beca 18,Universidad del Pacífico,2025,Lima,Todas las carreras elegibles,EIB,Variable,Lima - Sin migración
Beca 18,Universidad del Pacífico,2025,Lima,Todas las carreras elegibles,Protección,Variable,Lima - Sin migración
Beca 18,Universidad del Pacífico,2025,Lima,Todas las carreras elegibles,CNA y PA,Variable,Lima - Sin migración
